"","Locale_Id","Locale_Name","VD_Level","Top_VD_Item_Id","VD_Item_Id","VD_ItemName","PV_Code","PV_StartDate","PV_EndDate","VM_Id","VM_StartDate","VM_EndDate","VM","VM_Definition"
"21",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","00","01/01/2011",NA,81124,"01/01/2011",NA,"Senior management occupations",""
"23",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","01-05","01/01/2011",NA,81125,"01/01/2011",NA,"Specialized middle management occupations",""
"25",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","06","01/01/2011",NA,81126,"01/01/2011",NA,"Middle management occupations in retail and wholesale trade and customer services",""
"27",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","07-09","01/01/2011",NA,81127,"01/01/2011",NA,"Middle management occupations in trades, transportation, production and utilities",""
"29",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","11","01/01/2011",NA,81128,"01/01/2011",NA,"Professional occupations in business and finance",""
"31",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","12","01/01/2011",NA,81129,"01/01/2011",NA,"Administrative and financial supervisors and administrative occupations",""
"33",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","13","01/01/2011",NA,81130,"01/01/2011",NA,"Finance, insurance and related business administrative occupations",""
"35",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","14","01/01/2011",NA,81131,"01/01/2011",NA,"Office support occupations",""
"37",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","15","01/01/2011",NA,81132,"01/01/2011",NA,"Distribution, tracking and scheduling co-ordination occupations",""
"39",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","21","01/01/2011",NA,81133,"01/01/2011",NA,"Professional occupations in natural and applied sciences",""
"41",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","22","01/01/2011",NA,81134,"01/01/2011",NA,"Technical occupations related to natural and applied sciences",""
"43",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","30","01/01/2011",NA,81135,"01/01/2011",NA,"Professional occupations in nursing",""
"45",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","31","01/01/2011",NA,81136,"01/01/2011",NA,"Professional occupations in health (except nursing)",""
"47",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","32","01/01/2011",NA,81137,"01/01/2011",NA,"Technical occupations in health",""
"49",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","34","01/01/2011",NA,81138,"01/01/2011",NA,"Assisting occupations in support of health services",""
"51",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","40","01/01/2011",NA,81139,"01/01/2011",NA,"Professional occupations in education services",""
"53",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","41","01/01/2011",NA,81140,"01/01/2011",NA,"Professional occupations in law and social, community and government services",""
"55",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","42","01/01/2011",NA,81141,"01/01/2011",NA,"Paraprofessional occupations in legal, social, community and education services",""
"57",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","43","01/01/2011",NA,81142,"01/01/2011",NA,"Occupations in front-line public protection services",""
"59",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","44","01/01/2011",NA,81143,"01/01/2011",NA,"Care providers and educational, legal and public protection support occupations",""
"61",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","51","01/01/2011",NA,81144,"01/01/2011",NA,"Professional occupations in art and culture",""
"63",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","52","01/01/2011",NA,81145,"01/01/2011",NA,"Technical occupations in art, culture, recreation and sport",""
"65",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","62","01/01/2011",NA,81146,"01/01/2011",NA,"Retail sales supervisors and specialized sales occupations",""
"67",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","63","01/01/2011",NA,81147,"01/01/2011",NA,"Service supervisors and specialized service occupations",""
"69",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","64","01/01/2011",NA,81148,"01/01/2011",NA,"Sales representatives and salespersons - wholesale and retail trade",""
"71",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","65","01/01/2011",NA,81149,"01/01/2011",NA,"Service representatives and other customer and personal services occupations",""
"73",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","66","01/01/2011",NA,81150,"01/01/2011",NA,"Sales support occupations",""
"75",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","67","01/01/2011",NA,81151,"01/01/2011",NA,"Service support and other service occupations, n.e.c.",""
"77",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","72","01/01/2011",NA,81152,"01/01/2011",NA,"Industrial, electrical and construction trades",""
"79",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","73","01/01/2011",NA,81153,"01/01/2011",NA,"Maintenance and equipment operation trades",""
"81",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","74","01/01/2011",NA,81154,"01/01/2011",NA,"Other installers, repairers and servicers and material handlers",""
"83",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","75","01/01/2011",NA,81155,"01/01/2011",NA,"Transport and heavy equipment operation and related maintenance occupations",""
"85",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","76","01/01/2011",NA,81156,"01/01/2011",NA,"Trades helpers, construction labourers and related occupations",""
"87",1,"en",2,122372,122374,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Major groups L2","82","01/01/2011",NA,81157,"01/01/2011",NA,"Supervisors and technical occupations in natural resources, agriculture and related production",""
