"","Locale_Id","Locale_Name","VD_Level","Top_VD_Item_Id","VD_Item_Id","VD_ItemName","PV_Code","PV_StartDate","PV_EndDate","VM_Id","VM_StartDate","VM_EndDate","VM","VM_Definition"
"1",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","0","01/01/2011",NA,81114,"01/01/2011",NA,"Management occupations",""
"3",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","1","01/01/2011",NA,81115,"01/01/2011",NA,"Business, finance and administration occupations",""
"5",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","2","01/01/2011",NA,81116,"01/01/2011",NA,"Natural and applied sciences and related occupations",""
"7",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","3","01/01/2011",NA,81117,"01/01/2011",NA,"Health occupations",""
"9",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","4","01/01/2011",NA,81118,"01/01/2011",NA,"Occupations in education, law and social, community and government services",""
"11",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","5","01/01/2011",NA,81119,"01/01/2011",NA,"Occupations in art, culture, recreation and sport",""
"13",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","6","01/01/2011",NA,81120,"01/01/2011",NA,"Sales and service occupations",""
"15",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","7","01/01/2011",NA,81121,"01/01/2011",NA,"Trades, transport and equipment operators and related occupations",""
"17",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","8","01/01/2011",NA,81122,"01/01/2011",NA,"Natural resources, agriculture and related production occupations",""
"19",1,"en",1,122372,122373,"National Occupational Classification &#40;NOC&#41; 2011 &#45; Broad occupational categories L1","9","01/01/2011",NA,81123,"01/01/2011",NA,"Occupations in manufacturing and utilities",""
